model,domain,gamma,prompt_index,cluster_id,trial_index,position,drafted_rounds,reached_rounds,accepted_tokens
H1,TinyStories validation,2,43,43,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,43,43,3,2,12.0,12.0,8.0
H1,TinyStories validation,2,44,44,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,44,44,0,2,11.0,11.0,10.0
H1,TinyStories validation,2,44,44,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,44,44,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,44,44,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,44,44,2,2,11.0,11.0,11.0
H1,TinyStories validation,2,44,44,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,44,44,3,2,11.0,11.0,11.0
H1,TinyStories validation,2,45,45,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,45,45,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,45,45,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,45,45,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,45,45,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,45,45,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,45,45,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,45,45,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,46,46,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,46,46,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,46,46,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,46,46,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,46,46,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,46,46,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,46,46,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,46,46,3,2,12.0,12.0,9.0
H1,TinyStories validation,2,47,47,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,47,47,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,47,47,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,47,47,1,2,12.0,12.0,8.0
H1,TinyStories validation,2,47,47,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,47,47,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,47,47,3,1,13.0,13.0,13.0
H1,TinyStories validation,2,47,47,3,2,12.0,12.0,7.0
H1,TinyStories validation,2,48,48,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,48,48,0,2,11.0,11.0,9.0
H1,TinyStories validation,2,48,48,1,1,13.0,13.0,13.0
H1,TinyStories validation,2,48,48,1,2,13.0,13.0,7.0
H1,TinyStories validation,2,48,48,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,48,48,2,2,12.0,12.0,9.0
H1,TinyStories validation,2,48,48,3,1,13.0,13.0,12.0
H1,TinyStories validation,2,48,48,3,2,12.0,11.0,8.0
H1,TinyStories validation,2,49,49,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,49,49,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,49,49,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,49,49,1,2,11.0,11.0,9.0
H1,TinyStories validation,2,49,49,2,1,12.0,12.0,11.0
H1,TinyStories validation,2,49,49,2,2,12.0,11.0,9.0
H1,TinyStories validation,2,49,49,3,1,11.0,11.0,11.0
H1,TinyStories validation,2,49,49,3,2,11.0,11.0,10.0
H1,TinyStories validation,2,50,50,0,1,12.0,12.0,12.0
H1,TinyStories validation,2,50,50,0,2,12.0,12.0,9.0
H1,TinyStories validation,2,50,50,1,1,14.0,14.0,14.0
H1,TinyStories validation,2,50,50,1,2,13.0,13.0,5.0
H1,TinyStories validation,2,50,50,2,1,12.0,12.0,12.0
H1,TinyStories validation,2,50,50,2,2,11.0,11.0,9.0
H1,TinyStories validation,2,50,50,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,50,50,3,2,11.0,11.0,9.0
H1,TinyStories validation,2,51,51,0,1,11.0,11.0,11.0
H1,TinyStories validation,2,51,51,0,2,11.0,11.0,11.0
H1,TinyStories validation,2,51,51,1,1,12.0,12.0,12.0
H1,TinyStories validation,2,51,51,1,2,12.0,12.0,9.0
H1,TinyStories validation,2,51,51,2,1,11.0,11.0,11.0
H1,TinyStories validation,2,51,51,2,2,11.0,11.0,10.0
H1,TinyStories validation,2,51,51,3,1,12.0,12.0,12.0
H1,TinyStories validation,2,51,51,3,2,11.0,11.0,9.0
