domain,gamma,cluster_id,prompts_in_cluster,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
TinyStories validation,2,121,1,-0.16637529137529133,-0.18720862470862473,-0.21008158508158511,-0.16317016317016309,-2.34375
TinyStories validation,2,122,1,-0.07561188811188807,-0.037150349650349634,-0.0056818181818182045,-0.05128205128205121,-0.78125
TinyStories validation,2,123,1,0.05871212121212127,0.05871212121212119,0.05288461538461536,0.12121212121212133,1.5625
TinyStories validation,2,124,1,-0.03205128205128205,-0.03205128205128205,-0.020833333333333315,-0.05128205128205121,-0.78125
TinyStories validation,2,125,1,-0.15721778221778226,-0.15859140859140858,-0.15034965034965034,-0.1558441558441559,-2.34375
TinyStories validation,2,126,1,-0.23659673659673663,-0.23659673659673658,-0.2141608391608391,-0.27505827505827496,-3.90625
TinyStories validation,2,127,1,0.0301573426573426,0.050990675990676027,0.050990675990676027,0.009324009324009452,0.0
TinyStories validation,4,0,1,-0.16746794871794862,-0.16746794871794876,-0.057096848401196276,-0.16239316239316226,-2.34375
TinyStories validation,4,1,1,-0.3208333333333334,-0.3208333333333333,-0.11001751871317086,-0.3111111111111111,-2.34375
TinyStories validation,4,2,1,-0.3291666666666665,-0.3291666666666667,-0.12440928324549015,-0.29494949494949496,-3.125
TinyStories validation,4,3,1,-0.3506944444444444,-0.3506944444444445,-0.14885324431801192,-0.28888888888888875,-2.34375
TinyStories validation,4,4,1,-0.3060606060606059,-0.3060606060606061,-0.11756425222081505,-0.25050505050505034,-2.34375
TinyStories validation,4,5,1,-0.2881944444444444,-0.2881944444444445,-0.12393149674399671,-0.2222222222222222,-2.34375
TinyStories validation,4,6,1,-0.3400883838383839,-0.3400883838383838,-0.09128871552127162,-0.3111111111111111,-2.34375
TinyStories validation,4,7,1,-0.22499999999999987,-0.22500000000000003,-0.06544629470978797,-0.19999999999999996,-1.5625
TinyStories validation,4,8,1,-0.02777777777777779,-0.02777777777777779,-0.0010714285714285565,0.0,0.0
TinyStories validation,4,9,1,0.0758838383838385,0.07588383838383836,0.031210648540592467,0.03838383838383841,0.0
TinyStories validation,4,10,1,-0.10902777777777795,-0.10902777777777772,-0.03329777418982817,-0.13333333333333353,-0.78125
TinyStories validation,4,11,1,0.31785714285714295,0.3178571428571429,0.06639591997628704,0.34285714285714275,2.34375
TinyStories validation,4,12,1,0.30079365079365084,0.30079365079365084,0.11718877187627189,0.2378066378066379,1.5625
TinyStories validation,4,13,1,-0.14494949494949483,-0.14494949494949497,-0.014884333676046704,-0.1454545454545455,-1.5625
TinyStories validation,4,14,1,-0.02013888888888893,-0.020138888888888873,-0.0283984533984534,-0.016161616161616044,0.0
TinyStories validation,4,15,1,-0.39236111111111105,-0.425189393939394,-0.14379387973137972,-0.43434343434343425,-3.90625
TinyStories validation,4,16,1,-0.1692550505050504,-0.14147727272727276,-0.05598861148430115,-0.1454545454545455,-1.5625
TinyStories validation,4,17,1,-0.3161616161616161,-0.3161616161616162,-0.0916850802696942,-0.3616161616161615,-3.125
TinyStories validation,4,18,1,-0.44652777777777786,-0.44652777777777775,-0.14647107723194677,-0.4666666666666669,-3.90625
TinyStories validation,4,19,1,-0.06091269841269842,-0.060912698412698474,-0.008313519314268922,-0.12063492063492043,-0.78125
TinyStories validation,4,20,1,-0.17500000000000004,-0.175,-0.07945079276601018,-0.19999999999999996,-1.5625
TinyStories validation,4,21,1,0.11458333333333337,0.11458333333333331,0.035497181964573285,0.11111111111111116,0.78125
TinyStories validation,4,22,1,0.057638888888888795,0.057638888888888906,0.01575276575276577,0.0888888888888888,0.78125
TinyStories validation,4,23,1,-0.3805555555555554,-0.3805555555555556,-0.11831986555562266,-0.37777777777777755,-3.125
TinyStories validation,4,24,1,-0.21736111111111112,-0.24513888888888885,-0.10154715596950627,-0.1838383838383839,-1.5625
TinyStories validation,4,25,1,-0.1356060606060605,-0.16060606060606067,-0.07051699124835945,-0.10505050505050484,-0.78125
TinyStories validation,4,26,1,0.15328282828282813,0.15328282828282833,0.09064072062994478,0.12323232323232314,1.5625
TinyStories validation,4,27,1,-0.3979166666666666,-0.375189393939394,-0.13134409620783372,-0.3616161616161615,-3.125
TinyStories validation,4,28,1,-0.13482905982905974,-0.1348290598290598,-0.02674501424501423,-0.18461538461538463,-2.34375
TinyStories validation,4,29,1,-0.07828282828282829,-0.07828282828282826,-0.0030965674110835367,-0.11111111111111116,-0.78125
TinyStories validation,4,30,1,-0.2333333333333334,-0.23333333333333334,-0.06003764753764754,-0.25050505050505034,-2.34375
TinyStories validation,4,31,1,-0.16300505050505054,-0.1630050505050505,-0.062485835923335925,-0.1393939393939393,-0.78125
TinyStories validation,4,32,1,-0.13888888888888895,-0.1388888888888889,-0.05065488470660884,-0.11111111111111116,-0.78125
TinyStories validation,4,33,1,-0.2581439393939392,-0.2581439393939394,-0.12391612773362422,-0.2343434343434343,-2.34375
TinyStories validation,4,34,1,-0.25,-0.27499999999999997,-0.09864595613518025,-0.2727272727272727,-2.34375
TinyStories validation,4,35,1,0.08333333333333337,0.08333333333333331,0.02391304347826087,0.11111111111111116,0.78125
TinyStories validation,4,36,1,-0.2833333333333332,-0.2833333333333334,-0.12433380084151471,-0.25050505050505034,-2.34375
