domain,gamma,prompt_index,cluster_id,trial_index,trial_seed,acceptance_rate_pos2plus_H1,mean_accepted_prefix_H1,mean_accepted_beyond_first_H1,emitted_tokens_per_round_H1,rounds_per_100_tokens_H1,verification_rounds_H1,position_1_survival_H1,decode_seconds_H1,acceptance_rate_pos2plus_H8,mean_accepted_prefix_H8,mean_accepted_beyond_first_H8,emitted_tokens_per_round_H8,rounds_per_100_tokens_H8,verification_rounds_H8,position_1_survival_H8,decode_seconds_H8,accepted_prefix_improvement,accepted_beyond_first_improvement,acceptance_rate_improvement,emitted_tokens_improvement,verification_round_reduction
WikiText-103 test OOD,4,35,16,2,10235082,0.3225806451612903,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11381320099917502,0.9047619047619048,3.7142857142857144,2.7142857142857144,4.571428571428571,21.875,7.0,1.0,0.07527568699970288,1.8051948051948052,1.8051948051948052,0.5821812596006144,1.662337662337662,12.5
WikiText-103 test OOD,4,35,16,3,10335082,0.22857142857142856,1.6666666666666667,0.6666666666666666,2.6666666666666665,37.5,12.0,1.0,0.12620684700050333,0.5384615384615384,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09465355999964231,0.8888888888888886,0.888888888888889,0.3098901098901099,0.8888888888888888,9.375
WikiText-103 test OOD,4,36,17,0,10036082,0.5185185185185185,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09558974599985959,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09409286700065422,0.11111111111111116,0.11111111111111116,0.08148148148148149,0.0,0.0
WikiText-103 test OOD,4,36,17,1,10136082,0.6666666666666666,3.0,2.0,4.0,25.0,8.0,1.0,0.08537868399980653,0.4642857142857143,2.3,1.3,3.2,31.25,10.0,1.0,0.10627234599996882,-0.7000000000000002,-0.7,-0.20238095238095233,-0.7999999999999998,-6.25
WikiText-103 test OOD,4,36,17,2,10236082,0.4642857142857143,2.3,1.3,3.2,31.25,10.0,1.0,0.1042968829997335,0.48148148148148145,2.3,1.3,3.2,31.25,10.0,1.0,0.10351126699970337,0.0,0.0,0.017195767195767153,0.0,0.0
WikiText-103 test OOD,4,36,17,3,10336082,0.4642857142857143,2.3,1.3,3.2,31.25,10.0,1.0,0.10405011700004252,0.2777777777777778,1.75,0.8333333333333334,2.6666666666666665,37.5,12.0,0.9166666666666666,0.1275471059998381,-0.5499999999999998,-0.4666666666666667,-0.1865079365079365,-0.5333333333333337,-6.25
WikiText-103 test OOD,4,37,17,0,10037082,0.5384615384615384,2.5555555555555554,1.5555555555555556,3.5555555555555554,28.125,9.0,1.0,0.09424775499974203,0.6,2.6666666666666665,1.6666666666666667,3.5555555555555554,28.125,9.0,1.0,0.09381784299966967,0.11111111111111116,0.11111111111111116,0.06153846153846154,0.0,0.0
WikiText-103 test OOD,4,37,17,1,10137082,0.3125,1.9090909090909092,0.9090909090909091,2.909090909090909,34.375,11.0,1.0,0.11534244500035129,0.2571428571428571,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12618734299940115,-0.15909090909090917,-0.15909090909090906,-0.05535714285714288,-0.24242424242424265,-3.125
WikiText-103 test OOD,4,37,17,2,10237082,0.2647058823529412,1.75,0.75,2.6666666666666665,37.5,12.0,1.0,0.12421895100032998,0.43333333333333335,2.3,1.3,3.2,31.25,10.0,1.0,0.10573870400003216,0.5499999999999998,0.55,0.16862745098039217,0.5333333333333337,6.25
WikiText-103 test OOD,4,37,17,3,10337082,0.4642857142857143,2.3,1.3,3.2,31.25,10.0,1.0,0.10384764900027221,0.15384615384615385,1.3571428571428572,0.42857142857142855,2.2857142857142856,43.75,14.0,0.9285714285714286,0.143857876999391,-0.9428571428571426,-0.8714285714285714,-0.31043956043956045,-0.9142857142857146,-12.5
